iter	Passed	Remaining
580	4612	3326
581	4620	3318
582	4621	3305
583	4630	3298
584	4640	3292
585	4649	3285
586	4658	3277
587	4665	3269
588	4671	3260
589	4678	3251
590	4686	3243
591	4691	3233
592	4695	3222
593	4707	3217
594	4714	3209
595	4722	3201
596	4731	3193
597	4740	3186
598	4747	3178
599	4757	3171
600	4766	3164
601	4776	3157
602	4782	3148
603	4793	3143
604	4800	3134
605	4808	3126
606	4816	3118
607	4825	3111
608	4834	3103
609	4844	3097
610	4854	3090
611	4864	3084
612	4872	3076
613	4878	3066
614	4885	3058
615	4891	3049
616	4897	3040
617	4918	3040
618	4929	3034
619	4937	3026
620	4942	3016
621	4952	3009
622	4961	3002
623	4968	2993
624	4976	2985
625	4982	2976
626	4992	2969
627	5001	2962
628	5007	2953
629	5008	2941
630	5016	2933
631	5024	2925
632	5032	2917
633	5039	2909
634	5044	2899
635	5052	2891
636	5062	2884
637	5071	2877
638	5081	2870
639	5087	2861
640	5096	2854
641	5105	2846
642	5114	2839
643	5122	2831
644	5132	2825
645	5141	2817
646	5146	2808
647	5147	2796
648	5155	2788
649	5164	2780
650	5172	2772
651	5181	2765
652	5188	2756
653	5194	2748
654	5199	2738
655	5206	2730
656	5214	2722
657	5219	2712
658	5230	2706
659	5235	2697
660	5244	2689
661	5252	2681
662	5260	2673
663	5264	2664
664	5270	2655
665	5278	2647
666	5283	2637
667	5288	2628
668	5295	2620
669	5306	2613
670	5318	2607
671	5327	2600
672	5336	2592
673	5345	2585
674	5353	2577
675	5359	2568
676	5367	2560
677	5374	2552
678	5382	2544
679	5387	2535
680	5397	2528
681	5406	2520
682	5413	2512
683	5422	2505
684	5432	2498
685	5442	2490
686	5452	2484
687	5462	2477
688	5468	2468
689	5476	2460
690	5485	2453
691	5496	2446
692	5505	2439
693	5516	2432
694	5527	2425
695	5538	2419
696	5546	2411
697	5558	2404
698	5567	2397
699	5578	2390
700	5586	2382
701	5592	2374
702	5604	2367
703	5613	2360
704	5624	2353
705	5636	2347
706	5644	2339
707	5653	2331
708	5661	2323
709	5670	2316
710	5681	2309
711	5692	2302
712	5705	2296
713	5712	2288
714	5724	2281
715	5734	2274
716	5743	2267
717	5753	2259
718	5758	2250
719	5768	2243
720	5769	2232
721	5775	2223
722	5783	2215
723	5790	2207
724	5799	2199
725	5807	2191
726	5815	2183
727	5823	2175
728	5834	2169
729	5842	2160
730	5851	2153
731	5860	2145
732	5867	2137
733	5876	2129
734	5882	2120
735	5891	2113
736	5897	2104
737	5907	2097
738	5916	2089
739	5925	2081
740	5930	2072
741	5939	2065
742	5948	2057
743	5956	2049
744	5967	2042
745	5976	2034
746	5983	2026
747	5992	2018
748	5999	2010
749	6007	2002
750	6014	1994
751	6020	1985
752	6028	1977
753	6037	1969
754	6044	1961
755	6052	1953
756	6057	1944
757	6065	1936
758	6075	1928
759	6080	1920
760	6087	1911
761	6096	1904
762	6105	1896
763	6111	1887
764	6120	1880
765	6128	1872
766	6134	1863
767	6144	1856
768	6153	1848
769	6154	1838
770	6162	1830
771	6168	1821
772	6175	1813
773	6183	1805
774	6189	1797
775	6196	1788
776	6203	1780
777	6212	1772
778	6217	1764
779	6218	1754
780	6226	1745
781	6234	1738
782	6245	1730
783	6254	1723
784	6261	1714
785	6266	1706
786	6274	1698
787	6283	1690
788	6292	1682
789	6299	1674
790	6305	1665
791	6312	1657
792	6319	1649
793	6328	1641
794	6338	1634
795	6344	1626
796	6349	1617
797	6358	1609
798	6363	1600
799	6372	1593
800	6378	1584
801	6383	1575
802	6391	1567
803	6399	1560
804	6409	1552
805	6416	1544
806	6426	1536
807	6435	1529
808	6445	1521
809	6454	1513
810	6463	1506
811	6473	1498
812	6480	1490
813	6486	1482
814	6492	1473
815	6499	1465
816	6509	1458
817	6518	1450
818	6530	1443
819	6536	1434
820	6546	1427
821	6554	1419
822	6564	1411
823	6573	1404
824	6584	1396
825	6594	1389
826	6604	1381
827	6613	1373
828	6619	1365
829	6627	1357
830	6633	1349
831	6643	1341
832	6653	1333
833	6660	1325
834	6668	1317
835	6678	1310
836	6686	1302
837	6694	1294
838	6695	1284
839	6706	1277
840	6716	1269
841	6727	1262
842	6735	1254
843	6744	1246
844	6748	1237
845	6756	1229
846	6757	1220
847	6766	1212
848	6775	1205
849	6783	1197
850	6791	1189
851	6800	1181
852	6810	1173
853	6821	1166
854	6823	1157
855	6832	1149
856	6842	1141
857	6850	1133
858	6857	1125
859	6864	1117
860	6871	1109
861	6880	1101
862	6888	1093
863	6895	1085
864	6899	1076
865	6905	1068
866	6913	1060
867	6921	1052
868	6932	1045
869	6940	1037
870	6950	1029
871	6955	1021
872	6965	1013
873	6974	1005
874	6982	997
875	6989	989
876	6998	981
877	7005	973
878	7013	965
879	7022	957
880	7028	949
881	7038	941
882	7046	933
883	7054	925
884	7063	917
885	7073	910
886	7080	902
887	7090	894
888	7098	886
889	7104	878
890	7112	870
891	7122	862
892	7130	854
893	7137	846
894	7146	838
895	7153	830
896	7163	822
897	7171	814
898	7178	806
899	7191	799
900	7205	791
901	7215	783
902	7225	776
903	7237	768
904	7244	760
905	7253	752
906	7271	745
907	7290	738
908	7302	731
909	7312	723
910	7321	715
911	7334	707
912	7345	699
913	7361	692
914	7373	684
915	7381	676
916	7391	668
917	7401	661
918	7410	653
919	7417	644
920	7426	636
921	7435	629
922	7447	621
923	7464	613
924	7476	606
925	7488	598
926	7498	590
927	7505	582
928	7514	574
929	7524	566
930	7533	558
931	7543	550
932	7552	542
933	7581	535
934	7593	527
935	7602	519
936	7607	511
937	7612	503
938	7619	494
939	7626	486
940	7635	478
941	7643	470
942	7653	462
943	7662	454
944	7669	446
945	7680	438
946	7687	430
947	7697	422
948	7703	413
949	7711	405
950	7720	397
951	7730	389
952	7740	381
953	7751	373
954	7761	365
955	7770	357
956	7778	349
957	7787	341
958	7797	333
959	7798	324
960	7807	316
961	7818	308
962	7828	300
963	7839	292
964	7850	284
965	7860	276
966	7869	268
967	7881	260
968	7888	252
969	7896	244
970	7906	236
971	7916	228
972	7927	219
973	7934	211
974	7941	203
975	7953	195
976	7961	187
977	7968	179
978	7979	171
979	7986	162
980	7996	154
981	8004	146
982	8014	138
983	8021	130
984	8032	122
985	8039	114
986	8051	106
987	8061	97
988	8071	89
989	8080	81
990	8085	73
991	8097	65
992	8107	57
993	8117	48
994	8124	40
995	8132	32
996	8143	24
997	8151	16
998	8159	8
999	8167	0
